string,category,char_count,tokenizer,token_count,tokens
🇵🇰🇩🇪🇺🇸🇬🇧🇫🇷🇯🇵🇨🇳🇮🇳🇧🇷🇦🇺,Emoji,20,cl100k_base (GPT-4),60,"[9468, 229, 113, 9468, 229, 108, 9468, 229, 102, 9468, 229, 103, 9468, 229, 118, 9468, 229, 116, 9468, 229, 105, 9468, 229, 100, 9468, 229, 104, 9468, 229, 115, 9468, 229, 107, 9468, 229, 113, 9468, 229, 101, 9468, 229, 111, 9468, 229, 106, 9468, 229, 111, 9468, 229, 100, 9468, 229, 115, 9468, 229, 99, 9468, 229, 118]"
🇵🇰🇩🇪🇺🇸🇬🇧🇫🇷🇯🇵🇨🇳🇮🇳🇧🇷🇦🇺,Emoji,20,o200k_base (GPT-4o),40,"[55506, 113, 55506, 108, 55506, 102, 55506, 103, 55506, 118, 55506, 116, 55506, 105, 55506, 100, 55506, 104, 55506, 115, 55506, 107, 55506, 113, 55506, 101, 55506, 111, 55506, 106, 55506, 111, 55506, 100, 55506, 115, 55506, 99, 55506, 118]"
👨‍👩‍👧‍👦,Emoji,7,cl100k_base (GPT-4),18,"[9468, 239, 101, 378, 235, 9468, 239, 102, 378, 235, 9468, 239, 100, 378, 235, 9468, 239, 99]"
👨‍👩‍👧‍👦,Emoji,7,o200k_base (GPT-4o),11,"[28823, 101, 2524, 28823, 102, 2524, 28823, 100, 2524, 28823, 99]"
👨‍💻,Emoji,3,cl100k_base (GPT-4),7,"[9468, 239, 101, 378, 235, 93273, 119]"
👨‍💻,Emoji,3,o200k_base (GPT-4o),5,"[28823, 101, 2524, 31446, 119]"
"{""name"": ""Ahmed"", ""age"": 25, ""city"": ""Berlin""}",JSON,46,cl100k_base (GPT-4),19,"[5018, 609, 794, 330, 25797, 2106, 498, 330, 425, 794, 220, 914, 11, 330, 9103, 794, 330, 95509, 9388]"
"{""name"": ""Ahmed"", ""age"": 25, ""city"": ""Berlin""}",JSON,46,o200k_base (GPT-4o),18,"[10848, 897, 1243, 392, 191364, 672, 392, 477, 1243, 220, 1161, 11, 392, 17500, 1243, 392, 114270, 18583]"
name Ahmed age 25 city Berlin,Other,29,cl100k_base (GPT-4),7,"[609, 41769, 4325, 220, 914, 3363, 20437]"
name Ahmed age 25 city Berlin,Other,29,o200k_base (GPT-4o),7,"[897, 66617, 5744, 220, 1161, 5030, 21230]"
"{""users"": [{""id"": 1, ""name"": ""Ali""}, {""id"": 2, ""name"": ""Sara""}], ""total"": 2}",JSON,76,cl100k_base (GPT-4),35,"[5018, 4312, 794, 62853, 307, 794, 220, 16, 11, 330, 609, 794, 330, 18129, 14682, 5324, 307, 794, 220, 17, 11, 330, 609, 794, 330, 50, 5169, 9388, 1145, 330, 5143, 794, 220, 17, 92]"
"{""users"": [{""id"": 1, ""name"": ""Ali""}, {""id"": 2, ""name"": ""Sara""}], ""total"": 2}",JSON,76,o200k_base (GPT-4o),34,"[10848, 8206, 1243, 161269, 315, 1243, 220, 16, 11, 392, 897, 1243, 392, 48556, 37834, 10494, 315, 1243, 220, 17, 11, 392, 897, 1243, 392, 140308, 18583, 2155, 392, 9577, 1243, 220, 17, 92]"
users id 1 name Ali id 2 name Sara total 2,Other,42,cl100k_base (GPT-4),14,"[4312, 887, 220, 16, 836, 14925, 887, 220, 17, 836, 44020, 2860, 220, 17]"
users id 1 name Ali id 2 name Sara total 2,Other,42,o200k_base (GPT-4o),14,"[8206, 1211, 220, 16, 1308, 23100, 1211, 220, 17, 1308, 54883, 3609, 220, 17]"
"{""config"": {""model"": ""gpt-4"", ""temperature"": 0.7, ""max_tokens"": 1024, ""top_p"": 0.95}}",JSON,85,cl100k_base (GPT-4),37,"[5018, 1710, 794, 5324, 2590, 794, 330, 70, 418, 12, 19, 498, 330, 35658, 794, 220, 15, 13, 22, 11, 330, 2880, 29938, 794, 220, 4278, 19, 11, 330, 3565, 623, 794, 220, 15, 13, 2721, 3500]"
"{""config"": {""model"": ""gpt-4"", ""temperature"": 0.7, ""max_tokens"": 1024, ""top_p"": 0.95}}",JSON,85,o200k_base (GPT-4o),37,"[10848, 3154, 1243, 10494, 5079, 1243, 392, 70, 555, 12, 19, 672, 392, 54267, 1243, 220, 15, 13, 22, 11, 392, 3228, 65830, 1243, 220, 7672, 19, 11, 392, 8169, 1359, 1243, 220, 15, 13, 4129, 6478]"
model gpt-4 temperature 0.7 max_tokens 1024 top_p 0.95,Other,54,cl100k_base (GPT-4),21,"[2590, 342, 418, 12, 19, 9499, 220, 15, 13, 22, 1973, 29938, 220, 4278, 19, 1948, 623, 220, 15, 13, 2721]"
model gpt-4 temperature 0.7 max_tokens 1024 top_p 0.95,Other,54,o200k_base (GPT-4o),21,"[5079, 329, 555, 12, 19, 12088, 220, 15, 13, 22, 2999, 65830, 220, 7672, 19, 2344, 1359, 220, 15, 13, 4129]"
The quick brown fox jumps over the lazy dog near the river bank on a warm summer afternoon,Other,90,cl100k_base (GPT-4),18,"[791, 4062, 14198, 39935, 35308, 927, 279, 16053, 5679, 3221, 279, 15140, 6201, 389, 264, 8369, 7474, 13658]"
The quick brown fox jumps over the lazy dog near the river bank on a warm summer afternoon,Other,90,o200k_base (GPT-4o),18,"[976, 4853, 19705, 68347, 65613, 1072, 290, 29082, 6446, 5862, 290, 20608, 6922, 402, 261, 9144, 9333, 18845]"
"https://maps.googleapis.com/maps/api/geocode/json?address=1600+Amphitheatre+Parkway,+Mountain+View,+CA&key=AIzaSyA1B2C3D4E5F6G7H8I9J0",URL,133,cl100k_base (GPT-4),55,"[2485, 1129, 18106, 20341, 916, 37893, 10729, 69848, 44788, 9108, 30, 5102, 28, 6330, 15, 10, 6219, 764, 83856, 16091, 10, 64706, 3195, 64554, 92269, 10, 860, 64554, 5158, 5, 798, 28, 15836, 4458, 35767, 32, 16, 33, 17, 34, 18, 35, 19, 36, 20, 37, 21, 38, 22, 39, 23, 40, 24, 41, 15]"
"https://maps.googleapis.com/maps/api/geocode/json?address=1600+Amphitheatre+Parkway,+Mountain+View,+CA&key=AIzaSyA1B2C3D4E5F6G7H8I9J0",URL,133,o200k_base (GPT-4o),54,"[4172, 1684, 48251, 45173, 1136, 92654, 20096, 137078, 84879, 17086, 30, 6104, 28, 9444, 15, 10, 6275, 961, 30031, 14624, 10, 34704, 3499, 38214, 135238, 10, 1097, 38214, 6781, 5, 1898, 28, 138699, 53597, 32, 16, 33, 17, 34, 18, 35, 19, 36, 20, 37, 21, 38, 22, 39, 23, 40, 24, 41, 15]"
https://www.example.com/search?q=artificial+intelligence&lang=en&page=1&sort=relevance&filter=recent&category=technology&subcategory=machine-learning,URL,149,cl100k_base (GPT-4),35,"[2485, 1129, 2185, 7880, 916, 24042, 44882, 28, 472, 16895, 10, 93375, 5, 5317, 62857, 75610, 28, 16, 5, 7003, 50752, 33194, 5, 5428, 28, 47743, 5, 5588, 28, 59342, 5, 80975, 28320, 3899, 71856]"
https://www.example.com/search?q=artificial+intelligence&lang=en&page=1&sort=relevance&filter=recent&category=technology&subcategory=machine-learning,URL,149,o200k_base (GPT-4o),36,"[4172, 1684, 3064, 11344, 1136, 46857, 93569, 28, 497, 20454, 10, 491, 33465, 5, 7585, 133471, 164471, 28, 16, 5, 13373, 123382, 108606, 5, 9875, 28, 87519, 5, 10960, 28, 103757, 5, 179332, 28, 48082, 92452]"
https://api.github.com/repos/anthropics/claude-code/pulls/123/comments?per_page=100&page=2&sort=created&direction=desc,URL,118,cl100k_base (GPT-4),35,"[2485, 1129, 2113, 11267, 916, 50605, 14, 32329, 897, 1233, 14, 54761, 799, 26327, 4420, 71523, 14, 4513, 49925, 30, 716, 6257, 28, 1041, 75610, 28, 17, 5, 7003, 28, 7266, 5, 19612, 28, 8784]"
https://api.github.com/repos/anthropics/claude-code/pulls/123/comments?per_page=100&page=2&sort=created&direction=desc,URL,118,o200k_base (GPT-4o),35,"[4172, 1684, 3094, 18772, 1136, 89042, 14, 66749, 2283, 1541, 14, 16530, 3525, 47088, 8138, 117304, 14, 7633, 151474, 30, 543, 13263, 28, 1353, 164471, 28, 17, 5, 13373, 28, 11644, 5, 43278, 28, 17186]"
Hello how are you today,Other,23,cl100k_base (GPT-4),5,"[9906, 1268, 527, 499, 3432]"
Hello how are you today,Other,23,o200k_base (GPT-4o),5,"[13225, 1495, 553, 481, 4044]"
ہیلو آپ کیسے ہیں آج,Urdu/Deutsch Mix,19,cl100k_base (GPT-4),22,"[151, 223, 14728, 8700, 12942, 8979, 95, 68483, 46693, 14728, 20665, 151, 240, 220, 151, 223, 14728, 150, 118, 8979, 95, 34190]"
ہیلو آپ کیسے ہیں آج,Urdu/Deutsch Mix,19,o200k_base (GPT-4o),6,"[84079, 13697, 26418, 179928, 12406, 98816]"
Hallo wie geht es Ihnen heute,Other,29,cl100k_base (GPT-4),6,"[79178, 13672, 40364, 1560, 44960, 49714]"
Hallo wie geht es Ihnen heute,Other,29,o200k_base (GPT-4o),6,"[46670, 5700, 18629, 878, 21460, 25881]"
for i in range(10): print(i),Code,28,cl100k_base (GPT-4),10,"[2000, 602, 304, 2134, 7, 605, 1680, 1194, 1998, 8]"
for i in range(10): print(i),Code,28,o200k_base (GPT-4o),10,"[1938, 575, 306, 3352, 7, 702, 3127, 2123, 3649, 8]"
for i in range(10): print(i),Code,28,cl100k_base (GPT-4),10,"[2000, 602, 304, 2134, 7, 605, 1680, 1194, 1998, 8]"
for i in range(10): print(i),Code,28,o200k_base (GPT-4o),10,"[1938, 575, 306, 3352, 7, 702, 3127, 2123, 3649, 8]"
The capital of Pakistan is Islamabad and it is a beautiful city with pleasant weather,Other,85,cl100k_base (GPT-4),15,"[791, 6864, 315, 17076, 374, 92532, 323, 433, 374, 264, 6366, 3363, 449, 24729, 9282]"
The capital of Pakistan is Islamabad and it is a beautiful city with pleasant weather,Other,85,o200k_base (GPT-4o),15,"[976, 9029, 328, 27950, 382, 178368, 326, 480, 382, 261, 6107, 5030, 483, 26644, 11122]"
پاکستان کا دارالحکومت اسلام آباد ہے اور یہ ایک خوبصورت شہر ہے جس کا موسم خوشگوار ہے,Urdu/Deutsch Mix,83,cl100k_base (GPT-4),71,"[68483, 5821, 33411, 47686, 40523, 46693, 5821, 45430, 36138, 32482, 30925, 33411, 12942, 10386, 14628, 13258, 20665, 8700, 50488, 8979, 95, 22071, 66498, 220, 151, 223, 151, 240, 13258, 59756, 220, 14728, 151, 223, 13258, 14728, 33411, 75415, 12942, 22071, 42693, 59756, 14628, 53257, 151, 223, 11318, 220, 151, 223, 151, 240, 83268, 20665, 46693, 5821, 24252, 12942, 20665, 10386, 75415, 12942, 33890, 64832, 12942, 36138, 220, 151, 223, 151, 240]"
پاکستان کا دارالحکومت اسلام آباد ہے اور یہ ایک خوبصورت شہر ہے جس کا موسم خوشگوار ہے,Urdu/Deutsch Mix,83,o200k_base (GPT-4o),23,"[139471, 9615, 23772, 36835, 791, 30405, 33146, 79447, 6825, 7652, 17552, 17393, 56322, 153810, 136620, 6825, 29646, 9615, 140545, 57701, 2492, 25020, 6825]"
