string,category,char_count,tokenizer,token_count,tokens
یہ ایک Testtext ہے جو Urdu und Deutsch mischt,Urdu/Deutsch Mix,45,cl100k_base (GPT-4),20,"[14728, 151, 223, 13258, 14728, 33411, 3475, 1342, 220, 151, 223, 151, 240, 83268, 12942, 94435, 2073, 34415, 5906, 14244]"
یہ ایک Testtext ہے جو Urdu und Deutsch mischt,Urdu/Deutsch Mix,45,o200k_base (GPT-4o),11,"[58010, 17393, 4674, 919, 6825, 11414, 110563, 844, 19644, 4694, 3487]"
"Guten Morgen, آپ کیسے ہیں؟",Urdu/Deutsch Mix,26,cl100k_base (GPT-4),21,"[38, 13462, 386, 40663, 11, 8979, 95, 68483, 46693, 14728, 20665, 151, 240, 220, 151, 223, 14728, 150, 118, 148, 253]"
"Guten Morgen, آپ کیسے ہیں؟",Urdu/Deutsch Mix,26,o200k_base (GPT-4o),8,"[38, 9627, 79869, 11, 26418, 179928, 12406, 11388]"
Die Universität میں پڑھنا sehr schön ہے,Urdu/Deutsch Mix,39,cl100k_base (GPT-4),21,"[18674, 15915, 37714, 24252, 14728, 150, 118, 88517, 150, 239, 150, 122, 12061, 5821, 26574, 75864, 220, 151, 223, 151, 240]"
Die Universität میں پڑھنا sehr schön ہے,Urdu/Deutsch Mix,39,o200k_base (GPT-4o),8,"[8796, 98168, 6431, 114979, 3925, 11529, 38671, 6825]"
میں Berlin میں wohne اور Kebab کھاتا ہوں,Urdu/Deutsch Mix,40,cl100k_base (GPT-4),28,"[10386, 14728, 150, 118, 20437, 24252, 14728, 150, 118, 289, 2319, 818, 13258, 59756, 735, 3141, 370, 46693, 150, 122, 48732, 5821, 220, 151, 223, 12942, 150, 118]"
میں Berlin میں wohne اور Kebab کھاتا ہوں,Urdu/Deutsch Mix,40,o200k_base (GPT-4o),11,"[136153, 21230, 6431, 81040, 611, 7652, 658, 61471, 47448, 121607, 56138]"
Wetter heute: آج موسم sehr gut ہے,Urdu/Deutsch Mix,33,cl100k_base (GPT-4),18,"[54, 22120, 49714, 25, 8979, 95, 34190, 24252, 12942, 20665, 10386, 26574, 18340, 220, 151, 223, 151, 240]"
Wetter heute: آج موسم sehr gut ہے,Urdu/Deutsch Mix,33,o200k_base (GPT-4o),9,"[54, 30747, 25881, 25, 98816, 140545, 11529, 10998, 6825]"
"Entschuldigung, مجھے Hilfe چاہیے bitte",Urdu/Deutsch Mix,38,cl100k_base (GPT-4),22,"[2300, 21740, 37668, 43703, 11, 24252, 34190, 150, 122, 151, 240, 93760, 220, 150, 228, 5821, 151, 223, 14728, 151, 240, 68482]"
"Entschuldigung, مجھے Hilfe چاہیے bitte",Urdu/Deutsch Mix,38,o200k_base (GPT-4o),8,"[3263, 181875, 28493, 11, 98964, 48592, 138122, 49309]"
🎉🎊🥳 Happy Birthday! 🎂🎁🎈,Emoji,23,cl100k_base (GPT-4),21,"[9468, 236, 231, 9468, 236, 232, 9468, 98, 111, 24241, 37340, 0, 11410, 236, 224, 9468, 236, 223, 9468, 236, 230]"
🎉🎊🥳 Happy Birthday! 🎂🎁🎈,Emoji,23,o200k_base (GPT-4o),15,"[71344, 231, 71344, 232, 112808, 111, 27213, 41769, 0, 139786, 224, 71344, 223, 71344, 230]"
I ❤️ programming 💻👨‍💻🚀,Emoji,22,cl100k_base (GPT-4),16,"[40, 71570, 31643, 15840, 64139, 119, 9468, 239, 101, 378, 235, 93273, 119, 9468, 248, 222]"
I ❤️ programming 💻👨‍💻🚀,Emoji,22,o200k_base (GPT-4o),12,"[40, 122205, 23238, 74580, 119, 28823, 101, 2524, 31446, 119, 112927, 222]"
🏠🏡🏢🏣🏤🏥🏦🏧🏨🏩🏪🏫,Emoji,12,cl100k_base (GPT-4),36,"[9468, 237, 254, 9468, 237, 94, 9468, 237, 95, 9468, 237, 96, 9468, 237, 97, 9468, 237, 98, 9468, 237, 99, 9468, 237, 100, 9468, 237, 101, 9468, 237, 102, 9468, 237, 103, 9468, 237, 104]"
🏠🏡🏢🏣🏤🏥🏦🏧🏨🏩🏪🏫,Emoji,12,o200k_base (GPT-4o),24,"[52622, 254, 52622, 94, 52622, 95, 52622, 96, 52622, 97, 52622, 98, 52622, 99, 52622, 100, 52622, 101, 52622, 102, 52622, 103, 52622, 104]"
👨‍👩‍👧‍👦 Family dinner 🍕🍔🌮🍣🍜,Emoji,27,cl100k_base (GPT-4),35,"[9468, 239, 101, 378, 235, 9468, 239, 102, 378, 235, 9468, 239, 100, 378, 235, 9468, 239, 99, 12517, 14177, 11410, 235, 243, 9468, 235, 242, 9468, 234, 106, 9468, 235, 96, 9468, 235, 250]"
👨‍👩‍👧‍👦 Family dinner 🍕🍔🌮🍣🍜,Emoji,27,o200k_base (GPT-4o),23,"[28823, 101, 2524, 28823, 102, 2524, 28823, 100, 2524, 28823, 99, 14098, 16078, 197348, 243, 102415, 242, 64364, 106, 102415, 96, 102415, 250]"
⚠️🔴🟡🟢✅❌⭕💯🔥💥,Emoji,11,cl100k_base (GPT-4),27,"[158, 248, 254, 31643, 9468, 242, 112, 9468, 253, 94, 9468, 253, 95, 38798, 227, 49633, 234, 158, 255, 243, 93273, 107, 9468, 242, 98, 93273, 98]"
⚠️🔴🟡🟢✅❌⭕💯🔥💥,Emoji,11,o200k_base (GPT-4o),20,"[84396, 254, 15148, 51843, 112, 4103, 253, 94, 4103, 253, 95, 69059, 22632, 234, 179285, 31446, 107, 96606, 31446, 98]"
🇵🇰🇩🇪🇺🇸🇬🇧🇫🇷🇯🇵🇨🇳🇮🇳🇧🇷🇦🇺,Emoji,20,cl100k_base (GPT-4),60,"[9468, 229, 113, 9468, 229, 108, 9468, 229, 102, 9468, 229, 103, 9468, 229, 118, 9468, 229, 116, 9468, 229, 105, 9468, 229, 100, 9468, 229, 104, 9468, 229, 115, 9468, 229, 107, 9468, 229, 113, 9468, 229, 101, 9468, 229, 111, 9468, 229, 106, 9468, 229, 111, 9468, 229, 100, 9468, 229, 115, 9468, 229, 99, 9468, 229, 118]"
🇵🇰🇩🇪🇺🇸🇬🇧🇫🇷🇯🇵🇨🇳🇮🇳🇧🇷🇦🇺,Emoji,20,o200k_base (GPT-4o),40,"[55506, 113, 55506, 108, 55506, 102, 55506, 103, 55506, 118, 55506, 116, 55506, 105, 55506, 100, 55506, 104, 55506, 115, 55506, 107, 55506, 113, 55506, 101, 55506, 111, 55506, 106, 55506, 111, 55506, 100, 55506, 115, 55506, 99, 55506, 118]"
https://www.example.com/search?q=artificial+intelligence&lang=en&page=1&sort=relevance&filter=recent&category=technology&subcategory=machine-learning,URL,149,cl100k_base (GPT-4),35,"[2485, 1129, 2185, 7880, 916, 24042, 44882, 28, 472, 16895, 10, 93375, 5, 5317, 62857, 75610, 28, 16, 5, 7003, 50752, 33194, 5, 5428, 28, 47743, 5, 5588, 28, 59342, 5, 80975, 28320, 3899, 71856]"
https://www.example.com/search?q=artificial+intelligence&lang=en&page=1&sort=relevance&filter=recent&category=technology&subcategory=machine-learning,URL,149,o200k_base (GPT-4o),36,"[4172, 1684, 3064, 11344, 1136, 46857, 93569, 28, 497, 20454, 10, 491, 33465, 5, 7585, 133471, 164471, 28, 16, 5, 13373, 123382, 108606, 5, 9875, 28, 87519, 5, 10960, 28, 103757, 5, 179332, 28, 48082, 92452]"
https://api.github.com/repos/anthropics/claude-code/pulls/123/comments?per_page=100&page=2&sort=created&direction=desc,URL,118,cl100k_base (GPT-4),35,"[2485, 1129, 2113, 11267, 916, 50605, 14, 32329, 897, 1233, 14, 54761, 799, 26327, 4420, 71523, 14, 4513, 49925, 30, 716, 6257, 28, 1041, 75610, 28, 17, 5, 7003, 28, 7266, 5, 19612, 28, 8784]"
https://api.github.com/repos/anthropics/claude-code/pulls/123/comments?per_page=100&page=2&sort=created&direction=desc,URL,118,o200k_base (GPT-4o),35,"[4172, 1684, 3094, 18772, 1136, 89042, 14, 66749, 2283, 1541, 14, 16530, 3525, 47088, 8138, 117304, 14, 7633, 151474, 30, 543, 13263, 28, 1353, 164471, 28, 17, 5, 13373, 28, 11644, 5, 43278, 28, 17186]"
https://stackoverflow.com/questions/12345678/how-to-parse-json-in-python-with-special-characters-and-unicode-handling?answertab=votes#tab-top,URL,141,cl100k_base (GPT-4),33,"[2485, 1129, 43135, 916, 44419, 14, 4513, 10961, 2495, 51426, 4791, 86482, 57180, 3502, 73029, 27281, 93348, 43638, 5090, 9976, 12, 25535, 25417, 2785, 30, 598, 55694, 370, 28, 38935, 2, 6323, 8338]"
https://stackoverflow.com/questions/12345678/how-to-parse-json-in-python-with-special-characters-and-unicode-handling?answertab=votes#tab-top,URL,141,o200k_base (GPT-4o),34,"[4172, 1684, 99294, 1136, 100087, 14, 7633, 19354, 4388, 89541, 6487, 12, 4841, 135385, 4200, 195043, 53232, 160807, 12, 100199, 17224, 30296, 21778, 40461, 3321, 30, 616, 21773, 378, 89140, 8534, 2, 11957, 16099]"
https://docs.google.com/spreadsheets/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0123456789/edit#gid=0&range=A1:Z100,URL,101,cl100k_base (GPT-4),48,"[2485, 1129, 14452, 5831, 916, 27832, 31458, 20924, 3529, 14, 16, 64, 33, 66, 1951, 37, 70, 13347, 41, 74, 43, 76, 2822, 47, 80, 43427, 54071, 53, 86, 55, 88, 57, 11531, 12901, 17458, 24, 22055, 2, 35949, 28, 15, 5, 9866, 47723, 16, 25, 57, 1041]"
https://docs.google.com/spreadsheets/d/1aBcDeFgHiJkLmNoPqRsTuVwXyZ0123456789/edit#gid=0&range=A1:Z100,URL,101,o200k_base (GPT-4o),45,"[4172, 1684, 28027, 8900, 1136, 58023, 51226, 31491, 6662, 14, 16, 64, 158309, 1923, 166942, 12194, 41, 74, 196093, 3160, 47, 80, 46194, 32220, 53, 86, 55, 88, 57, 19267, 22901, 30833, 24, 47128, 2, 62014, 28, 15, 5, 20967, 112591, 16, 25, 57, 1353]"
https://www.amazon.com/dp/B09V3KXJPB/ref=cm_sw_r_cp_api_i_dl_ABCDEF?encoding=UTF8&psc=1&tag=example-20,URL,102,cl100k_base (GPT-4),40,"[2485, 1129, 2185, 18771, 916, 3529, 79, 16675, 2545, 53, 18, 42, 55, 28287, 33, 56863, 28, 6358, 33681, 1745, 40911, 11959, 5431, 51911, 92504, 13963, 30, 17600, 38105, 23, 5, 83084, 28, 16, 5, 4681, 28, 8858, 12, 508]"
https://www.amazon.com/dp/B09V3KXJPB/ref=cm_sw_r_cp_api_i_dl_ABCDEF?encoding=UTF8&psc=1&tag=example-20,URL,102,o200k_base (GPT-4o),41,"[4172, 1684, 3064, 32806, 1136, 6662, 79, 25217, 3114, 53, 18, 42, 55, 41166, 33, 115236, 28, 7871, 84453, 3442, 96857, 26102, 10853, 137475, 62, 44197, 36563, 30, 32028, 77580, 23, 5, 166281, 28, 16, 5, 7394, 28, 18582, 12, 455]"
"https://maps.googleapis.com/maps/api/geocode/json?address=1600+Amphitheatre+Parkway,+Mountain+View,+CA&key=AIzaSyA1B2C3D4E5F6G7H8I9J0",URL,133,cl100k_base (GPT-4),55,"[2485, 1129, 18106, 20341, 916, 37893, 10729, 69848, 44788, 9108, 30, 5102, 28, 6330, 15, 10, 6219, 764, 83856, 16091, 10, 64706, 3195, 64554, 92269, 10, 860, 64554, 5158, 5, 798, 28, 15836, 4458, 35767, 32, 16, 33, 17, 34, 18, 35, 19, 36, 20, 37, 21, 38, 22, 39, 23, 40, 24, 41, 15]"
"https://maps.googleapis.com/maps/api/geocode/json?address=1600+Amphitheatre+Parkway,+Mountain+View,+CA&key=AIzaSyA1B2C3D4E5F6G7H8I9J0",URL,133,o200k_base (GPT-4o),54,"[4172, 1684, 48251, 45173, 1136, 92654, 20096, 137078, 84879, 17086, 30, 6104, 28, 9444, 15, 10, 6275, 961, 30031, 14624, 10, 34704, 3499, 38214, 135238, 10, 1097, 38214, 6781, 5, 1898, 28, 138699, 53597, 32, 16, 33, 17, 34, 18, 35, 19, 36, 20, 37, 21, 38, 22, 39, 23, 40, 24, 41, 15]"
"{""name"": ""Ahmed"", ""age"": 25, ""city"": ""Berlin""}",JSON,46,cl100k_base (GPT-4),19,"[5018, 609, 794, 330, 25797, 2106, 498, 330, 425, 794, 220, 914, 11, 330, 9103, 794, 330, 95509, 9388]"
"{""name"": ""Ahmed"", ""age"": 25, ""city"": ""Berlin""}",JSON,46,o200k_base (GPT-4o),18,"[10848, 897, 1243, 392, 191364, 672, 392, 477, 1243, 220, 1161, 11, 392, 17500, 1243, 392, 114270, 18583]"
"{""users"": [{""id"": 1, ""name"": ""Ali""}, {""id"": 2, ""name"": ""Sara""}], ""total"": 2}",JSON,76,cl100k_base (GPT-4),35,"[5018, 4312, 794, 62853, 307, 794, 220, 16, 11, 330, 609, 794, 330, 18129, 14682, 5324, 307, 794, 220, 17, 11, 330, 609, 794, 330, 50, 5169, 9388, 1145, 330, 5143, 794, 220, 17, 92]"
"{""users"": [{""id"": 1, ""name"": ""Ali""}, {""id"": 2, ""name"": ""Sara""}], ""total"": 2}",JSON,76,o200k_base (GPT-4o),34,"[10848, 8206, 1243, 161269, 315, 1243, 220, 16, 11, 392, 897, 1243, 392, 48556, 37834, 10494, 315, 1243, 220, 17, 11, 392, 897, 1243, 392, 140308, 18583, 2155, 392, 9577, 1243, 220, 17, 92]"
"{""error"": {""code"": 404, ""message"": ""Not Found"", ""details"": {""path"": ""/api/v1/users/999""}}}",JSON,90,cl100k_base (GPT-4),31,"[5018, 850, 794, 5324, 1889, 794, 220, 7507, 11, 330, 2037, 794, 330, 2688, 12595, 498, 330, 15216, 794, 5324, 2398, 794, 3605, 2113, 5574, 16, 19728, 14, 5500, 32075, 92]"
"{""error"": {""code"": 404, ""message"": ""Not Found"", ""details"": {""path"": ""/api/v1/users/999""}}}",JSON,90,o200k_base (GPT-4o),31,"[10848, 1544, 1243, 10494, 3056, 1243, 220, 13989, 11, 392, 3938, 1243, 392, 2874, 7283, 672, 392, 27105, 1243, 10494, 4189, 1243, 6699, 3094, 10315, 16, 38362, 14, 9130, 57612, 92]"
"{""config"": {""model"": ""gpt-4"", ""temperature"": 0.7, ""max_tokens"": 1024, ""top_p"": 0.95}}",JSON,85,cl100k_base (GPT-4),37,"[5018, 1710, 794, 5324, 2590, 794, 330, 70, 418, 12, 19, 498, 330, 35658, 794, 220, 15, 13, 22, 11, 330, 2880, 29938, 794, 220, 4278, 19, 11, 330, 3565, 623, 794, 220, 15, 13, 2721, 3500]"
"{""config"": {""model"": ""gpt-4"", ""temperature"": 0.7, ""max_tokens"": 1024, ""top_p"": 0.95}}",JSON,85,o200k_base (GPT-4o),37,"[10848, 3154, 1243, 10494, 5079, 1243, 392, 70, 555, 12, 19, 672, 392, 54267, 1243, 220, 15, 13, 22, 11, 392, 3228, 65830, 1243, 220, 7672, 19, 11, 392, 8169, 1359, 1243, 220, 15, 13, 4129, 6478]"
"{""translations"": {""en"": ""Hello"", ""ur"": ""ہیلو"", ""de"": ""Hallo"", ""ar"": ""مرحبا""}}",JSON,77,cl100k_base (GPT-4),35,"[5018, 59550, 794, 5324, 268, 794, 330, 9906, 498, 330, 324, 794, 330, 151, 223, 14728, 8700, 12942, 498, 330, 451, 794, 330, 79178, 498, 330, 277, 794, 330, 10386, 11318, 30925, 22071, 5821, 32075]"
"{""translations"": {""en"": ""Hello"", ""ur"": ""ہیلو"", ""de"": ""Hallo"", ""ar"": ""مرحبا""}}",JSON,77,o200k_base (GPT-4o),29,"[10848, 190364, 1243, 10494, 262, 1243, 392, 13225, 672, 392, 330, 1243, 392, 84079, 13697, 672, 392, 613, 1243, 392, 46670, 672, 392, 277, 1243, 392, 158894, 26537, 57612]"
"{""matrix"": [[1,0,0],[0,1,0],[0,0,1]], ""determinant"": 1, ""type"": ""identity""}",JSON,75,cl100k_base (GPT-4),36,"[5018, 18602, 794, 4416, 16, 11, 15, 11, 15, 15304, 15, 11, 16, 11, 15, 15304, 15, 11, 15, 11, 16, 21128, 330, 67, 16890, 519, 794, 220, 16, 11, 330, 1337, 794, 330, 17341, 9388]"
"{""matrix"": [[1,0,0],[0,1,0],[0,0,1]], ""determinant"": 1, ""type"": ""identity""}",JSON,75,o200k_base (GPT-4o),36,"[10848, 37307, 1243, 9237, 16, 11, 15, 11, 15, 32964, 15, 11, 16, 11, 15, 32964, 15, 11, 15, 11, 16, 37171, 392, 10136, 92196, 493, 1243, 220, 16, 11, 392, 2493, 1243, 392, 34010, 18583]"
